pdf,page,text_chars,text_blocks,ink_ratio,strong_ink_ratio,is_blank,width_px,height_px
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,24,1007,29,0.4480058390733772,0.2509591191508403,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,25,3089,7,0.41986311920952446,0.070894126449682,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,26,1011,29,0.44820389809496564,0.25111316505652015,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,27,3089,7,0.4198667869691835,0.07089045869002296,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,28,1011,29,0.4482442434512151,0.25119385576901915,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,29,3089,7,0.41987045472884255,0.070894126449682,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,30,1003,29,0.4478187833307659,0.25081240876447847,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,31,3089,7,0.4198557836902064,0.07088679093036392,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,32,1011,29,0.44818922705632946,0.2510581486616345,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,33,3089,7,0.41987045472884255,0.070894126449682,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,34,1015,29,0.448475312309735,0.25129288527981336,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,35,3089,7,0.4198557836902064,0.07089045869002296,False,459,594
volumes/Demons_Whip_Catalogo_NOVO_Dungeon_MODEL_3D_V01.pdf,36,1007,29,0.44776009917622117,0.25081974428379655,False,459,594
